id,name,county,province,province_code,postcode_area,type,map_reference,latitude,longitude,census_division,area_code,time_zone
25259,Talbot,Lac-Saint-Jean-Est,Quebec,QC,G8B,Locality,022D12,48.57556,-71.62444,Lac-Saint-Jean-Est,581,America/Montreal
25260,Talbotville Royal,Elgin,Ontario,ON,N5P,Locality,040I14,42.80323,-81.25250,Elgin,519,America/Toronto
25261,Talcville,,Newfoundland and Labrador,NL,A1W,Locality,001N10,47.51111,-52.96167,Division No.  1,709,America/St_Johns
25262,Tallheo,Central Coast,British Columbia,BC,V0T,Locality,093D07,52.38333,-126.83333,Central Coast,250,America/Vancouver
25263,Tallman,,Saskatchewan,SK,S0J,Locality,073B15,52.80005,-106.96726,Division No. 16,306,America/Regina
25264,Tall Pines,,Saskatchewan,SK,S0E,Locality,063D07,52.34999,-102.65048,Division No. 14,306,America/Regina
25265,Talmage,,Saskatchewan,SK,S0C,Locality,062E13,49.78336,-103.66721,Division No.  2,306,America/Regina
25266,Talon,Le Haut-Richelieu,Quebec,QC,J2W,Locality,031H06,45.35583,-73.27028,Le Haut-Richelieu,450,America/Montreal
25267,Talon,Gatineau,Quebec,QC,J8T,Locality,031G05,45.47833,-75.70139,Gatineau,819,America/Montreal
25268,Taloyoak,Kitikmeot,Nunavut,NU,X0B,Hamlet,057C10,69.53611,-93.52083,Kitikmeot,204,America/Cambridge_Bay
25269,Tamarac Estates,Peel,Ontario,ON,L7K,Locality,040P16,43.93444,-80.00167,Peel,289,America/Toronto
25270,Tamarack,Peace River,British Columbia,BC,V0C,Locality,094H11,57.65000,-121.16667,Peace River,250,America/Dawson_Creek
25271,Tamarisk,Squamish-Lillooet,British Columbia,BC,V0N,Locality,092J03,50.10000,-123.01667,Squamish-Lillooet,604,America/Vancouver
25272,Tam O'Shanter,Toronto,Ontario,ON,M1T,Locality,030M14,43.77722,-79.29750,Toronto,416,America/Toronto
25273,Tam O'Shanter Ridge,Halifax,Nova Scotia,NS,B2X,Locality,011D12,44.68904,-63.52681,Halifax,902,America/Halifax
25274,Tamworth,Lennox and Addington,Ontario,ON,K0K,Locality,031C07,44.48750,-76.99389,Lennox and Addington,613,America/Toronto
25275,Tancook Island,Lunenburg,Nova Scotia,NS,B0J,Locality,021A08,44.46528,-64.16911,Lunenburg,902,America/Halifax
25276,Tancredia,Pontiac,Quebec,QC,J0X,Locality,031F10,45.72000,-76.65083,Pontiac,819,America/Toronto
25277,Tangent,,Alberta,AB,T0H,Locality,083N13,55.79861,-117.67889,Division No. 19,587,America/Edmonton
25278,Tangier,Halifax,Nova Scotia,NS,B0J,Locality,011D15,44.80517,-62.69386,Halifax,902,America/Halifax
25279,Tangleflags,,Saskatchewan,SK,S9V,Locality,073F05,53.48342,-109.63410,Division No. 17,306,America/Edmonton
25280,Tanglewood,Ottawa,Ontario,ON,K2G,Locality,031G05,45.33333,-75.75000,Ottawa,613,America/Toronto
25281,Tanguay,Coaticook,Quebec,QC,J0B,Locality,021E04,45.05278,-71.71028,Coaticook,819,America/Montreal
25282,Tánintsę́ Chú Dachäk,,Yukon,YT,Y0A,Locality,105L04,62.05306,-135.68278,Yukon,250,America/Whitehorse
25283,Tankville,Westmorland,New Brunswick,NB,E1H,Locality,021I02,46.16206,-64.78281,Westmorland,506,America/Moncton
25284,Tanners Settlement,Lunenburg,Nova Scotia,NS,B4V,Locality,021A08,44.35418,-64.36602,Lunenburg,902,America/Halifax
25285,Tannin,Kenora,Ontario,ON,P0V,Locality,052G11,49.65000,-91.00472,Kenora,807,America/Winnipeg
25286,Tanquary Camp,Qikiqtaaluk,Nunavut,NU,X0A,Locality,340D06,81.40000,-76.90000,Qikiqtaaluk,819,America/Iqaluit
25287,Tansley,Halton,Ontario,ON,L7L,Locality,030M05,43.41167,-79.80194,Halton,289,America/Toronto
25288,Tansleyville,Thunder Bay,Ontario,ON,P0T,Locality,042E12,49.61177,-87.93963,Thunder Bay,807,America/Toronto
25289,Tantallon,Halifax,Nova Scotia,NS,B3Z,Locality,011D12,44.65984,-63.90276,Halifax,902,America/Halifax
25290,Tantallon,,Saskatchewan,SK,S0A,Village,062K12,50.53551,-101.84084,Division No.  5,306,America/Regina
25291,Tanu,Skeena-Queen Charlotte,British Columbia,BC,V0T,Locality,103B13,52.76556,-131.61639,Skeena-Queen Charlotte,250,America/Vancouver
25292,Tapley,Peterborough,Ontario,ON,L0A,Locality,031D02,44.17583,-78.50444,Peterborough,705,America/Toronto
25293,Tapley,,Saskatchewan,SK,S6H,Locality,072I05,50.36669,-105.55057,Division No.  7,306,America/Regina
25294,Tapleytown,Hamilton,Ontario,ON,L8J,Locality,030M04,43.18014,-79.73033,Hamilton,289,America/Toronto
25295,Taplow,,Alberta,AB,T0J,Locality,072M12,51.56389,-111.74389,Division No.  4,587,America/Edmonton
25296,Tappen,Columbia-Shuswap,British Columbia,BC,V0E,Locality,082L14,50.78333,-119.33333,Columbia-Shuswap,250,America/Vancouver
25297,Tara,Bruce,Ontario,ON,N0H,Locality,041A06,44.47778,-81.14556,Bruce,519,America/Toronto
25298,Taradale,,Alberta,AB,T3J,Locality,082P04,51.11806,-113.91667,Division No.  6,587,America/Edmonton
25299,Taradale,Thunder Bay,Ontario,ON,P0T,Locality,042F12,49.56222,-85.72833,Thunder Bay,705,America/Toronto
25300,Tarantum,Queens,Prince Edward Island,PE,C0A,Locality,011L07,46.29073,-62.95298,Queens,902,America/Halifax
25301,Tara Siding,Bruce,Ontario,ON,N0H,Locality,041A06,44.47018,-81.14318,Bruce,519,America/Toronto
25302,Tarbert,Dufferin,Ontario,ON,L9W,Locality,040P16,43.94750,-80.32889,Dufferin,519,America/Toronto
25303,Tarbot,Victoria,Nova Scotia,NS,B0C,Locality,011K07,46.33446,-60.59546,Victoria,902,America/Halifax
25304,Tarbotvale,Victoria,Nova Scotia,NS,B0C,Locality,011K07,46.35049,-60.56685,Victoria,902,America/Halifax
25305,Targettville,Kent,New Brunswick,NB,E4T,Locality,021I11,46.54245,-65.03132,Kent,506,America/Moncton
25306,Tar Island,,Alberta,AB,T0P,Locality,074E03,57.01917,-111.46778,Division No. 16,587,America/Edmonton
25307,Tarnopol,,Saskatchewan,SK,S0K,Locality,073A11,52.70003,-105.38386,Division No. 15,306,America/Regina
25308,Tarrtown,Carleton,New Brunswick,NB,E7J,Locality,021J12,46.54674,-67.61463,Carleton,506,America/Moncton
25309,Tarrys,Central Kootenay,British Columbia,BC,V1N,Locality,082F05,49.38333,-117.55000,Central Kootenay,250,America/Vancouver
25310,Tartan,Grey,Ontario,ON,N0G,Locality,041A02,44.12917,-80.72778,Grey,519,America/Toronto
25311,Tartan Lane,,Newfoundland and Labrador,NL,A0A,Locality,001K11,46.68472,-53.43750,Division No.  1,709,America/St_Johns
25312,Tartigou,La Matanie,Quebec,QC,G0J,Locality,022B13,48.75722,-67.79167,La Matanie,581,America/Montreal
25313,Tarzwell,Timiskaming,Ontario,ON,P0K,Locality,042A01,48.00232,-80.01872,Timiskaming,705,America/Toronto
25314,Taschereau,Montréal,Quebec,QC,H4R,Locality,031H05,45.47667,-73.68694,Montréal,514,America/Montreal
25315,Taschereau,Abitibi-Ouest,Quebec,QC,J0Z,Village,032D10,48.66667,-78.68333,Abitibi-Ouest,819,America/Montreal
25316,Ta:shiis,Strathcona,British Columbia,BC,V0P,Locality,092L03,50.14444,-127.10583,Strathcona,250,America/Vancouver
25317,Tashota,Thunder Bay,Ontario,ON,P0T,Locality,042L04,50.23365,-87.67109,Thunder Bay,807,America/Toronto
25318,Tasialurjuap Quurngungata Sijjangit,Nord-du-Québec,Quebec,QC,J0M,Locality,024M13,59.79167,-71.78139,Nord-du-Québec,819,America/Montreal
25319,Tasialuup Itillinga,Nord-du-Québec,Quebec,QC,J0M,Locality,034K12,58.68639,-77.70083,Nord-du-Québec,819,America/Montreal
25320,Tasialuup Sijjanga,Nord-du-Québec,Quebec,QC,J0M,Locality,035K05,62.27833,-77.62555,Nord-du-Québec,819,America/Montreal
25321,Tasiaviup Sijjangit,Nord-du-Québec,Quebec,QC,J0M,Locality,024M11,59.63139,-71.23722,Nord-du-Québec,819,America/Montreal
25322,Tasikutaap Sivuraliningata Sijjangit,Nord-du-Québec,Quebec,QC,J0M,Locality,025D01,60.12528,-70.28250,Nord-du-Québec,819,America/Montreal
25323,Tasikutaaraaluup Sitialungit,Nord-du-Québec,Quebec,QC,J0M,Locality,034K10,58.69278,-76.58778,Nord-du-Québec,819,America/Montreal
25324,Tasiqanngituq,Nord-du-Québec,Quebec,QC,J0M,Locality,034J13,58.90528,-75.57056,Nord-du-Québec,819,America/Montreal
25325,Tasirmiuviup Sijjangit,Nord-du-Québec,Quebec,QC,J0M,Locality,024N12,59.69333,-69.86972,Nord-du-Québec,819,America/Montreal
25326,Tasiujaq,Nord-du-Québec,Quebec,QC,J0M,Village,024K12,58.70000,-69.93333,Nord-du-Québec,819,America/Montreal
25327,Tasiviup Sijjangit Tarrasiit,Nord-du-Québec,Quebec,QC,J0M,Locality,024M11,59.66417,-71.00805,Nord-du-Québec,819,America/Montreal
25328,Tasu,Skeena-Queen Charlotte,British Columbia,BC,V0T,Locality,103C16,52.76667,-132.03333,Skeena-Queen Charlotte,250,America/Vancouver
25329,Ta Ta Creek,East Kootenay,British Columbia,BC,V0B,Locality,082G13,49.78333,-115.78333,East Kootenay,250,America/Edmonton
25330,Tatagwa,,Saskatchewan,SK,S0C,Locality,072H09,49.65003,-104.00055,Division No.  2,306,America/Regina
25331,Tatainaq,Nord-du-Québec,Quebec,QC,J0M,Locality,034O11,59.71306,-75.46750,Nord-du-Québec,819,America/Montreal
25332,Tatalrose,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093F13,53.98333,-125.98333,Bulkley-Nechako,250,America/Vancouver
25333,Tatamagouche,Colchester,Nova Scotia,NS,B0K,Village,011E11,45.71214,-63.29109,Colchester,902,America/Halifax
25334,Tatamagouche Mountain,Colchester,Nova Scotia,NS,B6L,Locality,011E11,45.63156,-63.26886,Colchester,902,America/Halifax
25335,Tate,,Saskatchewan,SK,S0A,Locality,072P07,51.45003,-104.83390,Division No. 10,306,America/Regina
25336,Tate Corners,Middlesex,Ontario,ON,N0L,Locality,040I12,42.71833,-81.63028,Middlesex,519,America/Toronto
25337,Tatehurst,Le Haut-Saint-Laurent,Quebec,QC,J0S,Locality,031G01,45.14222,-74.01500,Le Haut-Saint-Laurent,450,America/Montreal
25338,Tatla Lake,Cariboo,British Columbia,BC,V0L,Locality,092N15,51.90000,-124.60000,Cariboo,250,America/Vancouver
25339,Tatlayoko Lake,Cariboo,British Columbia,BC,V0L,Locality,092N09,51.71667,-124.43333,Cariboo,250,America/Vancouver
25340,Tatlock,Lanark,Ontario,ON,K0G,Locality,031F01,45.16722,-76.48056,Lanark,613,America/Toronto
25341,Tatlow,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093L11,54.70000,-127.11667,Bulkley-Nechako,250,America/Vancouver
25342,Tatnall,Algoma,Ontario,ON,P0M,Locality,042C09,48.68639,-84.22250,Algoma,705,America/Toronto
25343,Tatogga,Kitimat-Stikine,British Columbia,BC,V0J,Locality,104H12,57.73472,-129.98889,Kitimat-Stikine,250,America/Vancouver
25344,Tatsfield,,Saskatchewan,SK,S0M,Locality,073C14,52.81674,-109.16739,Division No. 13,306,America/Regina
25345,Tatton,Cariboo,British Columbia,BC,V0K,Locality,092P11,51.71667,-121.36667,Cariboo,250,America/Vancouver
25346,Tattons Corner,Charlotte,New Brunswick,NB,E5G,Locality,021B15,44.76552,-66.76257,Charlotte,506,America/Moncton
25347,Taunton,Durham,Ontario,ON,L0B,Locality,030M15,43.94361,-78.82917,Durham,289,America/Toronto
25348,Tavani,Kivalliq,Nunavut,NU,X0C,Locality,055K03,62.06667,-93.10000,Kivalliq,204,America/Rankin_Inlet
25349,Taverna,Fraser-Fort George,British Columbia,BC,V0E,Locality,083D14,52.97361,-119.41389,Fraser-Fort George,250,America/Vancouver
25350,Tavistock,Oxford,Ontario,ON,N0B,Locality,040P07,43.32167,-80.83556,Oxford,519,America/Toronto
25351,Tawa,,Alberta,AB,T6L,Locality,083H06,53.46111,-113.42361,Division No. 11,587,America/Edmonton
25352,Tawatinaw,,Alberta,AB,T0G,Locality,083I06,54.29806,-113.48333,Division No. 13,587,America/Edmonton
25353,Taxis River,Northumberland,New Brunswick,NB,E6A,Locality,021J08,46.44978,-66.46505,Northumberland,506,America/Moncton
25354,Tay Creek,York,New Brunswick,NB,E6B,Locality,021J02,46.23058,-66.81436,York,506,America/Moncton
25355,Tay Falls,York,New Brunswick,NB,E6B,Locality,021J02,46.22740,-66.77250,York,506,America/Moncton
25356,Taylor,,Alberta,AB,T0M,Locality,082P07,51.34417,-112.76028,Division No.  5,587,America/Edmonton
25357,Taylor,Peace River,British Columbia,BC,V0C,Municipality,094A02,56.15917,-120.68667,Peace River,250,America/Dawson_Creek
25358,Taylor,Leeds and Grenville,Ontario,ON,K0H,Locality,031C08,44.41472,-76.21222,Leeds and Grenville,613,America/Toronto
25359,Taylor Beach,,Saskatchewan,SK,S0G,Hamlet,062L12,50.69471,-103.64509,Division No.  6,306,America/Regina
25360,Taylor Corners,Kawartha Lakes,Ontario,ON,K0M,Locality,031D07,44.33917,-78.84972,Kawartha Lakes,705,America/Toronto
25361,Taylor's Bay,,Newfoundland and Labrador,NL,A0E,Locality,001L13,46.87611,-55.72639,Division No.  2,709,America/St_Johns
25362,Taylors Head,Halifax,Nova Scotia,NS,B0J,Locality,011D15,44.81241,-62.56717,Halifax,902,America/Halifax
25363,Taylorside,,Saskatchewan,SK,S0E,Locality,073A15,52.85001,-104.88383,Division No. 15,306,America/Regina
25364,Taylors Road,Antigonish,Nova Scotia,NS,B2G,Locality,011F12,45.61054,-61.87678,Antigonish,902,America/Halifax
25365,Taylor Village,Westmorland,New Brunswick,NB,E4K,Locality,021H15,45.93785,-64.55103,Westmorland,506,America/Moncton
25366,Taylorville,,Alberta,AB,T0K,Locality,082H03,49.03556,-113.12167,Division No.  3,587,America/Edmonton
25367,Tay Mills,York,New Brunswick,NB,E6B,Locality,021J02,46.18328,-66.79697,York,506,America/Moncton
25368,Taymouth,York,New Brunswick,NB,E6C,Locality,021J02,46.18264,-66.60731,York,506,America/Moncton
25369,Tayside,Stormont Dundas and Glengarry,Ontario,ON,K0C,Locality,031G07,45.29419,-74.96068,Stormont Dundas and Glengarry,613,America/Toronto
25370,Tay Valley,York,New Brunswick,NB,E6B,Locality,021J02,46.20786,-66.69107,York,506,America/Moncton
25371,Tchesinkut Lake,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093K04,54.08333,-125.73333,Bulkley-Nechako,250,America/Vancouver
25372,Tcîbâtik Sâgik,La Vallée-de-l'Or,Quebec,QC,J9P,Locality,031N11,47.53444,-77.04556,La Vallée-de-l'Or,819,America/Montreal
25373,Tcorecik,La Tuque,Quebec,QC,G0X,Locality,031O09,47.64944,-74.15361,La Tuque,819,America/Montreal
25374,Tea Cove,,Newfoundland and Labrador,NL,A0N,Locality,012B10,48.64218,-58.96910,Division No.  4,709,America/St_Johns
25375,Teahans Corner,Albert,New Brunswick,NB,E4H,Locality,021H10,45.70905,-64.95533,Albert,506,America/Moncton
25376,Tea Hill,Queens,Prince Edward Island,PE,C1B,Locality,011L03,46.21111,-63.06667,Queens,902,America/Halifax
25377,Teakerne Arm,Strathcona,British Columbia,BC,V0P,Locality,092K02,50.18611,-124.81528,Strathcona,250,America/Vancouver
25378,Teakle,,Saskatchewan,SK,S0H,Locality,072J11,50.60003,-107.11731,Division No.  7,306,America/Regina
25379,Tecumseh,Essex,Ontario,ON,N0R,Town,040J07,42.24306,-82.92556,Essex,519,America/Toronto
25380,Teeds Mills,Carleton,New Brunswick,NB,E7M,Locality,021J04,46.10261,-67.62619,Carleton,506,America/Moncton
25381,Tee Lake,Témiscamingue,Quebec,QC,J0Z,Locality,031L14,46.75583,-79.04444,Témiscamingue,819,America/Montreal
25382,Teepee Creek,,Alberta,AB,T0H,Locality,083M08,55.37417,-118.40972,Division No. 19,587,America/Edmonton
25383,Tees,,Alberta,AB,T0C,Locality,083A06,52.46750,-113.32083,Division No.  8,587,America/Edmonton
25384,Teeswater,Bruce,Ontario,ON,N0G,Locality,040P14,43.99778,-81.28611,Bruce,519,America/Toronto
25385,Teeterville,Haldimand-Norfolk,Ontario,ON,N0E,Locality,040I16,42.94472,-80.44306,Haldimand-Norfolk,519,America/Toronto
25386,Tehkummah,Manitoulin,Ontario,ON,P0P,Locality,041G09,45.65498,-82.01566,Manitoulin,705,America/Toronto
25387,Teko,Peace River,British Columbia,BC,V0C,Locality,094A02,56.15000,-120.75000,Peace River,250,America/Dawson_Creek
25388,Telachick,Fraser-Fort George,British Columbia,BC,V2N,Locality,093G14,53.86667,-123.20000,Fraser-Fort George,250,America/Vancouver
25389,Telegraph Cove,Mount Waddington,British Columbia,BC,V0N,Locality,092L10,50.55000,-126.83333,Mount Waddington,250,America/Vancouver
25390,Telegraph Creek,Kitimat-Stikine,British Columbia,BC,V0J,Locality,104G14,57.90000,-131.16667,Kitimat-Stikine,250,America/Vancouver
25391,Telegraph Hill,Montmagny,Quebec,QC,G0R,Locality,021M02,47.01833,-70.67667,Montmagny,581,America/Montreal
25392,Telfer,Middlesex,Ontario,ON,N0M,Locality,040P03,43.04868,-81.39568,Middlesex,519,America/Toronto
25393,Telford,,Manitoba,MB,R0E,Locality,052E14,49.84028,-95.38556,Division No.  1,204,America/Winnipeg
25394,Telford,Pictou,Nova Scotia,NS,B0K,Locality,011E09,45.57201,-62.46047,Pictou,902,America/Halifax
25395,Telfordville,,Alberta,AB,T0C,Locality,083G08,53.27333,-114.17056,Division No. 11,587,America/Edmonton
25396,Telkwa,Bulkley-Nechako,British Columbia,BC,V0J,Village,093L11,54.69667,-127.05083,Bulkley-Nechako,250,America/Vancouver
25397,Tellier,Sept-Rivières – Caniapiscau,Quebec,QC,G0G,Locality,022J08,50.39306,-66.16528,Sept-Rivières – Caniapiscau,581,America/Montreal
25398,Telly Road Crossing,Northumberland,New Brunswick,NB,E1V,Locality,021P04,47.11070,-65.60463,Northumberland,506,America/Moncton
25399,Temagami,Nipissing,Ontario,ON,P0H,Town,031M04,47.02972,-79.97167,Nipissing,705,America/Toronto
25400,Temagami North,Nipissing,Ontario,ON,P0H,Locality,031M04,47.11194,-79.79000,Nipissing,705,America/Toronto
25401,Témiscaming,Témiscamingue,Quebec,QC,J0Z,City,031L11,46.71667,-79.10000,Témiscamingue,819,America/Montreal
25402,Témiscouata-sur-le-Lac,Témiscouata,Quebec,QC,G0L,City,021N10,47.68333,-68.88333,Témiscouata,581,America/Montreal
25403,Temiskaming Shores,Timiskaming,Ontario,ON,P0J,City,031M05,47.49361,-79.71528,Timiskaming,705,America/Toronto
25404,Temperance Vale,York,New Brunswick,NB,E6G,Locality,021J03,46.06306,-67.24795,York,506,America/Moncton
25405,Temperanceville,York,Ontario,ON,L4E,Locality,030M14,43.93889,-79.48139,York,289,America/Toronto
25406,Tempest,,Alberta,AB,T1M,Locality,082H10,49.74667,-112.52389,Division No.  2,587,America/Edmonton
25407,Temple,,Alberta,AB,T0L,Locality,082N08,51.37250,-116.10194,Division No. 15,587,America/Edmonton
25408,Temple,,Alberta,AB,T1Y,Locality,082P04,51.08333,-113.95000,Division No.  6,587,America/Edmonton
25409,Temple,York,New Brunswick,NB,E6H,Locality,021G14,45.97993,-67.42696,York,506,America/Moncton
25410,Temple Hill,Grey,Ontario,ON,N0C,Locality,041A07,44.46056,-80.62417,Grey,519,America/Toronto
25411,Templeman,,Newfoundland and Labrador,NL,A0G,Locality,002F04,49.19833,-53.55194,Division No.  7,709,America/St_Johns
25412,Templeton,Gatineau,Quebec,QC,J8P,Locality,031G05,45.49278,-75.60500,Gatineau,819,America/Montreal
25413,Templeton-Est,Gatineau,Quebec,QC,J8P,Locality,031G05,45.49389,-75.58833,Gatineau,819,America/Montreal
25414,Templeton-Ouest,Gatineau,Quebec,QC,J8T,Locality,031G05,45.48333,-75.70250,Gatineau,819,America/Montreal
25415,Tempo,Middlesex,Ontario,ON,N6L,Locality,040I14,42.85659,-81.27790,Middlesex,519,America/Toronto
25416,Tenaga,Les Collines-de-l'Outaouais,Quebec,QC,J9B,Locality,031G12,45.52833,-75.80194,Les Collines-de-l'Outaouais,819,America/Montreal
25417,Tenby,,Manitoba,MB,R0J,Locality,062J06,50.49972,-99.12750,Division No.  8,204,America/Winnipeg
25418,Tenby Bay,Algoma,Ontario,ON,P0R,Locality,041J04,46.13083,-83.92583,Algoma,705,America/Toronto
25419,Ten Mile,,Yukon,YT,Y0A,Locality,105D01,60.16361,-134.37722,Yukon,250,America/Whitehorse
25420,Tenmile House,Queens,Prince Edward Island,PE,C0A,Locality,011L07,46.33452,-62.98304,Queens,902,America/Halifax
25421,Ten Mile Lake,Cariboo,British Columbia,BC,V2J,Locality,093G01,53.08333,-122.43333,Cariboo,250,America/Vancouver
25422,Ten Mile Lake,Halifax,Nova Scotia,NS,B0N,Locality,011E02,45.13308,-62.68267,Halifax,902,America/Halifax
25423,Tennants Cove,Kings,New Brunswick,NB,E5T,Locality,021G09,45.57254,-66.01533,Kings,506,America/Moncton
25424,Tennessee,Roussillon,Quebec,QC,J5A,Locality,031H05,45.36500,-73.65306,Roussillon,450,America/Montreal
25425,Tennion,,Alberta,AB,T0K,Locality,082H15,49.95944,-112.57722,Division No.  2,587,America/Edmonton
25426,Tennycape,Hants,Nova Scotia,NS,B0N,Locality,011E05,45.26576,-63.87647,Hants,902,America/Halifax
25427,Tennyson,Lanark,Ontario,ON,K7A,Locality,031F01,45.03878,-76.15969,Lanark,613,America/Toronto
25428,Tent City,Simcoe,Ontario,ON,L9S,Locality,031D05,44.29389,-79.53056,Simcoe,705,America/Toronto
25429,Terence Bay,Halifax,Nova Scotia,NS,B3T,Locality,011D05,44.47011,-63.72159,Halifax,902,America/Halifax
25430,Terence Bay River,Halifax,Nova Scotia,NS,B3T,Locality,011D05,44.49482,-63.73264,Halifax,902,America/Halifax
25431,Terminal Beach,Halifax,Nova Scotia,NS,B2Z,Locality,011D11,44.63870,-63.31913,Halifax,902,America/Halifax
25432,Terminus,Lambton,Ontario,ON,N0P,Locality,040J09,42.69104,-82.33042,Lambton,519,America/Toronto
25433,Terrace,Kitimat-Stikine,British Columbia,BC,V8G,City,103I10,54.51639,-128.59972,Kitimat-Stikine,250,America/Vancouver
25434,Terrace Bay,Thunder Bay,Ontario,ON,P0T,Locality,042D14,48.78194,-87.10139,Thunder Bay,705,America/Toronto
25435,Terrace Heights,,Alberta,AB,T6B,Locality,083H11,53.53333,-113.43333,Division No. 11,587,America/Edmonton
25436,Terrace Heights,Pictou,Nova Scotia,NS,B2H,Locality,011E10,45.60257,-62.65289,Pictou,902,America/Halifax
25437,Terrace Hill,Brant,Ontario,ON,N3R,Locality,040P01,43.15194,-80.26889,Brant,519,America/Toronto
25438,Terra Cotta,Peel,Ontario,ON,L7C,Locality,030M12,43.71906,-79.93521,Peel,289,America/Toronto
25439,Terrains de L'Évêque,Kent,New Brunswick,NB,E4T,Locality,021I06,46.26714,-65.04581,Kent,506,America/Moncton
