,outlet,url,top_image,title,authors,publish_date,keywords,summary,text
10,timescolonist,http://www.timescolonist.com/news/national,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,National,[],,"['investigation', 'mounties', 'launched', 'ottawa', 'oversight', 'man', 'national', 'organization', 'rcmp', 'provides', 'involved']",OTTAWA — The organization that provides civilian oversight of RCMP has launched an investigation into the conduct of Mounties involved in the June 1 arrest of an Inuk man in ...,OTTAWA — The organization that provides civilian oversight of RCMP has launched an investigation into the conduct of Mounties involved in the June 1 arrest of an Inuk man in ...
11,timescolonist,http://www.timescolonist.com/news/world,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,World,[],,"['nights', 'programming', 'lending', 'wilmington', 'set', 'voice', 'national', 'joe', 'mccain', 'video', 'world']","WILMINGTON, Del.
— Cindy McCain is going to bat for Joe Biden, lending her voice to a video set to air during Tuesday night’s Democratic National Convention programming ...","WILMINGTON, Del. — Cindy McCain is going to bat for Joe Biden, lending her voice to a video set to air during Tuesday night’s Democratic National Convention programming ..."
12,timescolonist,http://www.timescolonist.com/news/cannabis-news,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,Cannabis News,[],,"['sentenced', 'death', 'young', 'sons', 'prison', 'man', 'rest', 'manslaughter', 'edmonton', 'cannabis', 'convicted']",EDMONTON — A man who was convicted of manslaughter in his young son's death was sentenced Tuesday to 9 1/2 years in prison after apologizing to the rest of the boy's ...,EDMONTON — A man who was convicted of manslaughter in his young son's death was sentenced Tuesday to 9 1/2 years in prison after apologizing to the rest of the boy's ...
13,timescolonist,http://www.timescolonist.com/news/local/parents-hopeful-city-will-act-to-remove-tenters-from-site-near-school-1.24188606,https://images.glaciermedia.ca/polopoly_fs/1.24188607.1597804699!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/tc-8669-web-vka-campers-7331-jpg.jpg,Parents hopeful city will act to remove tenters from site near school,['Jeff Bell'],,"['students', 'fleming', 'tenters', 'site', 'solution', 'act', 'tents', 'park', 'near', 'school', 'hopeful', 'city', 'think', 'situation', 'parents', 'remove', 'south']","The collection of tents directly across Douglas Street from South Park Elementary continues to raise concerns, but a school parent said there has been a promising reaction from local authorities.
Victoria Mayor Lisa Helps said in a recent message to parents that she doesn’t think the tents should be in that portion of Beacon Hill Park.
For now, Fleming said, there could be a committee of parents formed to “sweep” the grounds each morning for things like needles.
He said there have been up to 20 tents visible from South Park.
“I think there’s no doubt at all that having tents … that close to a school isn’t the most optimal situation,” she said.","The collection of tents directly across Douglas Street from South Park Elementary continues to raise concerns, but a school parent said there has been a promising reaction from local authorities.

Victoria Mayor Lisa Helps said in a recent message to parents that she doesn’t think the tents should be in that portion of Beacon Hill Park. “It has become clear over the last few weeks, with the needles, feces and garbage on school property and all the broken windows, that it is not appropriate to have people camping across from an elementary school.”

article continues below

Parent representative Rich Fleming said there has been a “strong commitment from the city” to try to use bylaws to solve the problem.

“They’re pushing the resources they can toward it,” he said.

For now, Fleming said, there could be a committee of parents formed to “sweep” the grounds each morning for things like needles. “Obviously, that’s not the desired solution at all.”

Like many others, people in the South Park community have a “deep desire” to see a more overarching solution to homelessness issues, beyond what they see near the school, Fleming said.

“Obviously, we don’t want [tents] near a school and [to] put the kids at risk,” said Fleming, who has a child entering Grade 2 at the school as well as two younger children.

He said there have been up to 20 tents visible from South Park.

Greater Victoria School Board chairwoman Jordan Watters said that safety is “the No. 1 priority.”

“We’re watching the situation,” she said.

Overnight sheltering is allowed in several city parks, including Beacon Hill, and council has opted not to enforce rules requiring people to pack up during the day while there is a pandemic. The city received an injunction allowing it to remove people from sensitive areas of the park, but there are still dozens of tents in the area.

Helps said she believes it is appropriate to amend the parks bylaw to prohibit sheltering close to the school.

“I understand that staff are working on a series of bylaw amendments to propose to council in September that will address this and other issues around the city,” she said.

She noted that provincial health officer Dr. Bonnie Henry has advised that students returning to school should spend as much time as possible outdoors, something that unsafe grounds would prevent.

Victoria Coun. Marianne Alto said she agrees with Helps about the tents needing to move.

“I think there’s no doubt at all that having tents … that close to a school isn’t the most optimal situation,” she said. “We’re very well aware that there are better ways to deal with the reality of that site.”

Alto said Victoria’s committee of the whole meets next on Sept. 3, so she doesn’t expect measures to be in place by the time students return to school on Sept. 10.

“I’m really hoping that we’ll be able to get a handle on this very soon.”

jwbell@timescolonist.com"
14,timescolonist,http://www.timescolonist.com/news/local/two-replica-firearms-seized-from-housing-complex-on-gorge-road-east-1.24188594,https://images.glaciermedia.ca/polopoly_fs/1.24188595.1597801943!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/tc-8914-web-08182020-replica-2-jpg.jpg,Two replica firearms seized from housing complex on Gorge Road East,['Jeff Bell'],,"['replica', 'report', 'housing', 'went', 'seized', 'took', 'complex', 'man', 'turned', 'times', 'suite', 'victoria', 'firearm', 'east', 'gorge', 'road', 'firearms']","Two replica firearms were seized by Victoria police after they responded to a report of a man with a handgun on Tuesday morning.
Officers were called about 11 a.m. to a multi-unit temporary housing complex in the 300 block of Gorge Road East.
article continues belowOnce there, they learned the man had already turned over a replica firearm to staff, who gave it to police.
But officers believed that the description of the replica from the initial report didn’t match the one that was handed in.
A second replica firearm was found in a search of the suite.","Two replica firearms were seized by Victoria police after they responded to a report of a man with a handgun on Tuesday morning.

Officers were called about 11 a.m. to a multi-unit temporary housing complex in the 300 block of Gorge Road East.

article continues below

Once there, they learned the man had already turned over a replica firearm to staff, who gave it to police.

But officers believed that the description of the replica from the initial report didn’t match the one that was handed in. They went to the man’s suite, negotiated his surrender and took him into custody.

A second replica firearm was found in a search of the suite.

— Times Colonist"
15,timescolonist,http://www.timescolonist.com/news/local/navy-vessel-aids-sailboat-during-weekend-storm-1.24188592,https://images.glaciermedia.ca/polopoly_fs/1.24188593.1597801304!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/tc-8852-web-08182020-rescue-jpg.jpg,Navy vessel aids sailboat during weekend storm,['Jeff Bell'],,"['sailboat', 'exercises', 'storm', 'area', 'sailing', 'tow', 'weekend', 'vessel', 'island', 'dery', 'seas', 'high', 'attached', 'aids', 'navy']","Two people and their canine companions were towed to safety after their 37-foot sailing vessel ran into trouble in stormy seas off Vancouver Island Sunday night.
A call from the vessel came into Victoria’s Joint Rescue Co-ordination Centre about 11 p.m., said Sub.
HMCS Whitehorse, which was already in the area for search-and-rescue exercises, responded, Dery said.
A rope from the navy vessel was attached to the main mast to make a tow possible, he said.
“It took about an hour in the dark to that up.”It was another 4 1/2 hours to tow the sailboat to Winter Harbour, on the northwest of the Island.","Two people and their canine companions were towed to safety after their 37-foot sailing vessel ran into trouble in stormy seas off Vancouver Island Sunday night.

A call from the vessel came into Victoria’s Joint Rescue Co-ordination Centre about 11 p.m., said Sub. Lt. Michael Dery, spokesman for Maritime Forces Pacific.

article continues below

“Due to high seas and high winds, she was unable to use her sails safely.”

Crew members on a fishing boat in the area tried to provide a tow, but the line they attached to the sailing vessel off the cleats on the sailing vessel that their lines were tied to.

HMCS Whitehorse, which was already in the area for search-and-rescue exercises, responded, Dery said. The exercises are held twice a year.

A rope from the navy vessel was attached to the main mast to make a tow possible, he said.

“It took about an hour in the dark to that up.”

It was another 4 1/2 hours to tow the sailboat to Winter Harbour, on the northwest of the Island.

— Times Colonist"
16,timescolonist,http://www.timescolonist.com/news/local/victoria-police-looking-for-high-risk-missing-woman-1.24188541,https://images.glaciermedia.ca/polopoly_fs/1.24188542.1597793065!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_292_560/brandi-sheen.jpg,Victoria police looking for 'high-risk' missing woman,[],,"['highrisk', 'missing', 'whereabouts', 'stoppers', 'looking', 'sees', 'sundayarticle', 'shoulderlength', 'sheen', 'risksheen', 'victoria', 'woman', 'seen', 'white']","Victoria police are asking for the public’s help in locating Brandi Sheen, whom they describe as “high risk.”Sheen was last seen Sunday.
article continues belowThe 36-year-old is white, five-foot-four and 120 pounds with shoulder-length blond hair and brown eyes.
Police ask anyone who sees her to call 911.
Anyone with information on her whereabouts is asked to call Victoria police at 250-995-7654 or Crime Stoppers at 1-800-222-TIPS (8477).","Victoria police are asking for the public’s help in locating Brandi Sheen, whom they describe as “high risk.”

Sheen was last seen Sunday.

article continues below

The 36-year-old is white, five-foot-four and 120 pounds with shoulder-length blond hair and brown eyes.

Police ask anyone who sees her to call 911. Anyone with information on her whereabouts is asked to call Victoria police at 250-995-7654 or Crime Stoppers at 1-800-222-TIPS (8477)."
17,timescolonist,http://www.timescolonist.com/news/local/two-at-large-suspects-arrested-in-connection-with-cook-street-standoff-1.24188483,https://images.glaciermedia.ca/polopoly_fs/1.24188484.1597790119!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/tc-8807-web-vka-standoff-5055-jpg.jpg,Two at-large suspects arrested in connection with Cook Street standoff,['Jeff Bell'],,"['residential', 'street', 'suspects', 'connection', 'assault', 'atlarge', 'building', 'cook', 'man', 'standoff', 'near', 'victoria', 'arrested', 'robbery', 'woman']","Victoria police have arrested a man and a woman in connection with a robbery last week that led to the evacuation of a Cook Street residential complex.
Officers were called to the building, near George Jay Elementary, the morning of Aug. 13 for a report of a robbery and an assault with a weapon.
article continues belowAfter several hours, one man was arrested, but police said at the time that at least one suspect remained at large.
Two people were arrested captured Monday after police spotted them standing at a Hillside Avenue bus stop, near Graham Street, about 1:30 p.m.
Police found the man about 4:30 p.m. in a multi-unit residential building in the same area of Hillside and arrested him.","Victoria police have arrested a man and a woman in connection with a robbery last week that led to the evacuation of a Cook Street residential complex.

Officers were called to the building, near George Jay Elementary, the morning of Aug. 13 for a report of a robbery and an assault with a weapon. The suspects barricaded themselves in the building and the Greater Victoria Emergency Response Team was called in.

article continues below

After several hours, one man was arrested, but police said at the time that at least one suspect remained at large.

Two people were arrested captured Monday after police spotted them standing at a Hillside Avenue bus stop, near Graham Street, about 1:30 p.m. The man ran off but the woman was taken into custody.

Police found the man about 4:30 p.m. in a multi-unit residential building in the same area of Hillside and arrested him.

John William Crawford, 30, has been charged with aggravated assault and robbery. He also had outstanding warrants in connection with a break-and-enter, mischief and theft.

The woman has not been charged but police are recommending charges of aggravated assault and robbery. She has been released and is scheduled to appear in court."
18,timescolonist,http://www.timescolonist.com/news/local/crd-seeking-input-on-three-regional-parks-1.24188325,https://images.glaciermedia.ca/polopoly_fs/1.23965106.1570307280!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/rs51340-00073761-lpr011883-jpg.jpg,CRD seeking input on three regional parks,['Darron Kloster'],,"['input', 'seeking', 'sooke', 'park', 'lake', 'parks', 'management', 'regional', 'matheson', 'surveys', 'cove', 'crd']","The Capital Regional District wants your input on the future on three popular parks: Roche Cove, Matheson Lake and East Sooke Regional Park.
As part of initial engagement, the CRD said the surveys will help CRD Regional Parks gather background information on how members use the parks.
Matheson Lake Regional Park is a 156-hectare property in Metchosin acquired in 1994.
East Sooke Regional Park, established in 1970, is the third largest park in CRD system at 1,457 hectares.
There were about 205,000 visits to the park in 2018, making it one of the busiest in the regional parks system.","The Capital Regional District wants your input on the future on three popular parks: Roche Cove, Matheson Lake and East Sooke Regional Park.

Online surveys open to Sept. 18 ask the public how they access the parks, what changes they want to see and what may be working or not working in the park system.

article continues below

The CRD is developing new management plans for East Sooke and a joint plan for Roche Cove and Matheson Lake, which are in close proximity.

As part of initial engagement, the CRD said the surveys will help CRD Regional Parks gather background information on how members use the parks.

CRD is also seeking input from First Nations, government agencies and stakeholder groups.

“These plans will provide strategic and specific management direction and will guide environmental conservation, cultural heritage management, visitor use and park development over the next 15 to 20 years,” the CRD said in a statement.

Matheson Lake Regional Park is a 156-hectare property in Metchosin acquired in 1994. It features the lake and small beach, forested hills and several kilometres of trails.

Roche Cove Regional Park was established in 1985 and comprises 162 hectares around a sheltered cove in the Sooke Basin. The park has trails through cedar forests, along Matheson Creek and to mossy hilltops.

East Sooke Regional Park, established in 1970, is the third largest park in CRD system at 1,457 hectares. It has 49 kilometres of trails through forest, marsh and fields, including a challenging 10-kilometre trail along the coast. There were about 205,000 visits to the park in 2018, making it one of the busiest in the regional parks system.

You can find the surveys at ow.ly/LtSh50B2CN0."
19,timescolonist,http://www.timescolonist.com/news/local/crews-aircraft-added-to-fight-against-wildfires-near-sooke-reservoir-1.24188312,https://images.glaciermedia.ca/polopoly_fs/1.24188315.1597777741!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/map-island-wildfires-aug-17-2020.jpg,"Crews, aircraft added to fight against wildfires near Sooke reservoir",['Darron Kloster'],,"['reservoir', 'fight', 'aircraft', 'bc', 'wildfire', 'today', 'crews', 'staff', 'fires', 'sooke', 'near', 'water', 'lake', 'watershed', 'working', 'added', 'wildfires', 'crd']","Firefighters are battling two wildfires caused by lightning strikes on a ridge west of the Sooke Lake Reservoir, the water source for Greater Victoria.
High temperatures and steady winds continue today and more resources have been added to fight the fires.
Wildfire Management Branch is the commander on the fires and is working with the CRD’s watershed protection wildfire staff.
The CRD said there are 18 CRD watershed protection staff and two water tanker trucks working on containing the Mount Healey wildfire.
Wildfire Management Branch has committed two 20-person crews, 16 contract firefighters and four helicopters with water buckets to the fire today.","Firefighters are battling two wildfires caused by lightning strikes on a ridge west of the Sooke Lake Reservoir, the water source for Greater Victoria.

One of the fires on Mount Healy grew to about eight hectares overnight and is listed as “out of control” by the B.C. Wildfire Service. However, a statement by the Capital Regional District on Tuesday morning said the fire was about 40 per cent contained.

article continues below

“It is anticipated that the fire will be 100 per cent contained [Tuesday afternoon] as it is exhausting its fuel source,” the CRD said.

Lightning strikes Sunday night, after days of extreme heat, sparked more a dozen fires on the South Island. High temperatures and steady winds continue today and more resources have been added to fight the fires.

The CRD said the other fire, near Horton Lake, is in an isolated area and is approaching about five hectares in size.

Aircraft dropped fire retardant and water over the most of the day on Monday and are continuing today.

At least seven skimmer aircraft are filling pontoons on Shawnigan Lake and helicopters with water buckets arebeing used.

The CRD said ground crews were hiking in this morning to set up a containment perimeter.

A fire control specialist from the B.C. Wildfire Management Branch is the commander on the fires and is working with the CRD’s watershed protection wildfire staff.

The CRD said there are 18 CRD watershed protection staff and two water tanker trucks working on containing the Mount Healey wildfire.

“It appears that the nature of the terrain and fuels in the area should reduce the potential for further spread,” the CRD said.

The B.C. Wildfire Management Branch has committed two 20-person crews, 16 contract firefighters and four helicopters with water buckets to the fire today. Provincial staff will be working on both fires. The focus of the helicopter water drops will be on preventing the spread of the fire near Horton Lake.

The CRD said there is no impact to operations or water quality at this time.

However, because the fires have burned areas in the catchment of Sooke Lake Reservoir, CRD staff have started preparations for an assessment of impacts and erosion potential after the fires have been suppressed and are developing plans for minimizing any post-wildfire erosion this winter.

dkloster@timescolonist.com"
20,timescolonist,http://www.timescolonist.com/news/local/cougar-sightings-reported-near-rithet-s-bog-hillside-mall-1.24188308,https://images.glaciermedia.ca/polopoly_fs/1.22828801.1580192933!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/0919-cougar-jpg.jpg,"Cougar sightings reported near Rithet's Bog, Hillside mall",['Jeff Bell'],,"['reported', 'street', 'rithets', 'sites', 'hillside', 'cougar', 'bog', 'witnesses', 'went', 'shelbourne', 'service', 'near', 'vicinity', 'mall', 'shopping', 'sightings', 'urging']","Saanich police are urging people to be on alert after a pair of cougar sightings on Monday night.
One was in the vicinity of Owlwood Place, next to Rithet’s Bog.
article continues belowThe other was around the Hillside Shopping Centre in the area of Shelbourne Street and North Dairy Road.
Officers went to both sites but could not locate the cougars.
Conservation Officers Service has been advised.","Saanich police are urging people to be on alert after a pair of cougar sightings on Monday night.

One was in the vicinity of Owlwood Place, next to Rithet’s Bog. Three witnesses reporting seeing the animal.

article continues below

The other was around the Hillside Shopping Centre in the area of Shelbourne Street and North Dairy Road.

Officers went to both sites but could not locate the cougars.

The B.C. Conservation Officers Service has been advised."
21,timescolonist,http://www.timescolonist.com/news/local/police-fire-and-bylaw-officers-patrol-thetis-lake-expel-14-people-1.24188123,https://images.glaciermedia.ca/polopoly_fs/1.24188124.1597760608!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/tc-8026-web-vka-crd-7290-jpg.jpg,"Police, fire and bylaw officers patrol Thetis Lake, expel 14 people",['Katie Derosa'],,"['royal', 'view', 'shore', 'jumping', 'west', 'expel', 'thetis', 'park', 'patrol', 'lake', 'bylaw', '14', 'officers', 'water']","Frustrated by recent cliff-jumping injuries and public intoxication at Thetis Lake, firefighters, Mounties and bylaw officers teamed up to patrol the waters and shoreline surrounding the regional park over a hot and busy weekend.
Bylaw officers issued 12 written warnings, mostly for smoking or having open alcohol, and handed out four bylaw tickets for open alcohol.
Having View Royal Fire’s zodiac patrol the water was a major deterrent for people thinking of risky behaviour, Brown said.
West Shore RCMP said Friday they will be working with CRD bylaw officers and View Royal Fire to patrol popular parks for the rest of the summer.
“Why is it the responsibility for the View Royal taxpayer to foot the bill for people who are making conscious bad decisions?","Frustrated by recent cliff-jumping injuries and public intoxication at Thetis Lake, firefighters, Mounties and bylaw officers teamed up to patrol the waters and shoreline surrounding the regional park over a hot and busy weekend.

Between Friday and Sunday, West Shore RCMP, View Royal Fire and Capital Regional District bylaw officers, some in the fire department’s zodiac and some walking the trails, ejected 14 people who were drunk and disorderly. West Shore RCMP arrested one person who were taken to the station to sober up and on Sunday nabbed an impaired driver after bylaw officers saw the person stumbling to the parking lot.

article continues below

View Royal Fire Chief Paul Hurst said the main measure of success is that there were no calls for services relating to injuries in the park.

“This was a proactive initiative instead of a reactive measure,” Hurst said. “Having all three agencies there was a success.”

Don Brown, the CRD’s chief bylaw officer, said the focus was on educating people about the rules and preventing people from doing risky things like cliff jumping while intoxicated.

Bylaw officers issued 12 written warnings, mostly for smoking or having open alcohol, and handed out four bylaw tickets for open alcohol.

Having View Royal Fire’s zodiac patrol the water was a major deterrent for people thinking of risky behaviour, Brown said.

Brown said many families thanked the officers for patrolling and keeping the park safe. West Shore RCMP said Friday they will be working with CRD bylaw officers and View Royal Fire to patrol popular parks for the rest of the summer.

Hurst said there were hundreds of people in the water on Sunday, despite the CRD’s advisory that people and animals shouldn’t swim because of a blue-green algae bloom. The poisonous algae bloom produces cyanotoxins which can be lethal to dogs if ingested and for humans can results in symptoms such as headaches and abdominal pain.

Brown said people in the water were warned about the health impacts of the blue-green algae.

Hurst has been calling for enhanced safety measures at the park after a series of concerning calls in July, including one involving an unconscious and apparently intoxicated person on a trail and another where a man who was drinking injured himself while jumping from a cliff into the lake.

“The obvious concern we have is the alcohol consumption coupled with jumping off the cliffs,” he said. “Those two behaviours don’t go well together.”

Hurst has suggested closing the back side of the park in the summer months to prevent people from cliff jumping, or even sending the emergency response bill to intoxicated or careless people who injure themselves while jumping.

“Currently there’s nothing prohibiting people from jumping off the cliffs other than common sense,” he said. “Why is it the responsibility for the View Royal taxpayer to foot the bill for people who are making conscious bad decisions? These are conscious decisions to put yourself in harms way.”

Hurst said once the summer is over, he will meet with CRD officials to talk about longer term safety strategies for Thetis Lake Regional Park. According to CRD statistics, Thetis Lake has become increasingly busy with 500,000 visits to the park in 2018 compared to 350,000 in 2010.

kderosa@timescolonist.com

— With files from Lindsay Kines"
22,timescolonist,http://www.timescolonist.com/news/local/flipside-teen-centre-in-saanich-will-not-reopen-this-fall-1.24188010,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,Flipside Teen Centre in Saanich will not reopen this fall,['Pedro Arrais'],,"['centre', 'recreation', 'youth', 'physical', 'fall', 'teen', 'flipside', 'saanich', 'social', 'impact', 'covid19', 'including', 'reopen']","Saanich has delayed the reopening of the Flipside Teen Centre at G.R.
Pearkes Recreation Centre, even as the centre welcomes the rest of the ­community.
Part of the centre — including the area that hosted the teen centre — was taken over by the Saanich Fire Department in spring to ensure firefighters could observe appropriate physical distancing due to COVID-19.
The District of Saanich said it hopes to work with community partners to offer alternate services for youth in the Tillicum neighbourhood in the fall.
In addition, the Backdoor Teen Centre offers specialty programming such as an outdoor club, LGBTQ2+ social program and crafters club.","Saanich has delayed the reopening of the Flipside Teen Centre at G.R. Pearkes Recreation Centre, even as the centre welcomes the rest of the ­community.

Part of the centre — including the area that hosted the teen centre — was taken over by the Saanich Fire Department in spring to ensure firefighters could observe appropriate physical distancing due to COVID-19.

article continues below

One fire crew from Saanich’s Vernon Avenue fire station currently operates out of the recreational centre.

The District of Saanich said it hopes to work with community partners to offer alternate services for youth in the Tillicum neighbourhood in the fall.

“We are well aware of the impact the COVID-19 pandemic and subsequent social and physical isolation has had on youth in the community,” said Chris Filler, youth programmer for the municipality. “Teens are disproportionately affected by the social impact of COVID-19 and as a result of the disruption to school, social connections, music, art and sport routines, youth have had a hard time connecting with each other as well as meeting their own needs of self-care and well-being.”

Other recreation centres offering youth programs include the Upside Teen Centre at Saanich Commonwealth Place and the Backdoor Teen Centre at Gordon Head Recreation Centre.

Programs including Red Cross babysitting, judo, pottery, home alone, Aikido and some organized sports. In addition, the Backdoor Teen Centre offers specialty programming such as an outdoor club, LGBTQ2+ social program and crafters club.

For more information, go to saanich.ca."
23,timescolonist,http://www.timescolonist.com/news/lmp-bc-news/,,LMP BC News,[],,[],,
