topic,topic_num,titles,urls,lat,long,category,image_urls
famili just time peopl year home life day,0,['Woodbine community rallies around one of their own'],['https://torontosun.com/sports/horse-racing/woodbine-community-rallies-around-one-of-their-own'],0.0,0.0,lifestyle,['https://torontosun.com/sports/horse-racing/woodbine-community-rallies-around-one-of-their-own']
famili just time peopl year home life day,0,['Say cheese! This denturist brings smiles back to life – Maple Ridge News'],['https://www.mapleridgenews.com/marketplace/say-cheese-this-denturist-brings-smiles-back-to-life/'],-10.333333300000001,-53.2,lifestyle,['https://www.mapleridgenews.com/marketplace/say-cheese-this-denturist-brings-smiles-back-to-life/']
famili just time peopl year home life day,0,"['Boy gets 90 stitches after saving little sister from dog attack', ""Chris Evans sending 'Captain America' shield to little boy who saved sister from dog attack""]","['https://www.ctvnews.ca/world/boy-gets-90-stitches-after-saving-little-sister-from-dog-attack-1.5025401', 'https://www.ctvnews.ca/entertainment/chris-evans-sending-captain-america-shield-to-little-boy-who-saved-sister-from-dog-attack-1.5027123']",45.2957807,-108.9137544,lifestyle,"['https://www.ctvnews.ca/world/boy-gets-90-stitches-after-saving-little-sister-from-dog-attack-1.5025401', 'https://www.ctvnews.ca/entertainment/chris-evans-sending-captain-america-shield-to-little-boy-who-saved-sister-from-dog-attack-1.5027123']"
famili just time peopl year home life day,0,"['Can you follow the Mediterranean diet in Toronto?', 'Tropical barracuda caught off Vancouver Island', 'Orange is the new gin — with a range of flavours and no oversweetening', 'Camping offers a great pandemic escape, for less money than you might think – Maple Ridge News', 'Menno Home in Abbotsford keeps families connected – Abbotsford News']","['https://www.thestar.com/life/health_wellness/2020/01/08/can-you-follow-the-mediterranean-diet-in-toronto.html', 'https://vancouverisland.ctvnews.ca/tropical-barracuda-caught-off-vancouver-island-1.5024105', 'https://www.thestar.com/life/food_wine/2020/06/29/orange-is-the-new-gin-with-a-range-of-flavours-and-no-oversweetening.html', 'https://www.mapleridgenews.com/trending-now/camping-offers-a-great-pandemic-escape-for-less-money-than-you-might-think/', 'https://www.abbynews.com/community/menno-home-in-abbotsford-keeps-families-connected/']",55.001251,-125.00244099999999,lifestyle,"['https://www.thestar.com/life/health_wellness/2020/01/08/can-you-follow-the-mediterranean-diet-in-toronto.html', 'https://vancouverisland.ctvnews.ca/tropical-barracuda-caught-off-vancouver-island-1.5024105', 'https://www.thestar.com/life/food_wine/2020/06/29/orange-is-the-new-gin-with-a-range-of-flavours-and-no-oversweetening.html', 'https://www.mapleridgenews.com/trending-now/camping-offers-a-great-pandemic-escape-for-less-money-than-you-might-think/', 'https://www.abbynews.com/community/menno-home-in-abbotsford-keeps-families-connected/']"
famili just time peopl year home life day,0,['Maybe it’s time for a psychological test for drivers'],['https://www.thestar.com/autos/opinion/2020/07/03/maybe-its-time-for-a-psychological-test-for-drivers.html'],43.6497652,-79.3907305,lifestyle,['https://www.thestar.com/autos/opinion/2020/07/03/maybe-its-time-for-a-psychological-test-for-drivers.html']
famili just time peopl year home life day,0,['Clearview Station offers unique bed and breakfast'],['http://barrie.ctvnews.ca/clearview-station-offers-unique-bed-and-breakfast-1.5027619'],44.327104,-80.10841490000001,lifestyle,['http://barrie.ctvnews.ca/clearview-station-offers-unique-bed-and-breakfast-1.5027619']
famili just time peopl year home life day,0,"[""Calgary residents frustrated the city doesn't protect mature trees on private property""]",['https://calgary.ctvnews.ca/calgary-residents-frustrated-the-city-doesn-t-protect-mature-trees-on-private-property-1.5027476'],51.0534234,-114.0625892,lifestyle,['https://calgary.ctvnews.ca/calgary-residents-frustrated-the-city-doesn-t-protect-mature-trees-on-private-property-1.5027476']
famili just time peopl year home life day,0,"['If you want to save bumblebees, plant these flowers in your yard', 'Feed the soul: In chaotic times, gardening becomes therapy', 'Passing the time during the pandemic']","['https://www.ctvnews.ca/lifestyle/if-you-want-to-save-bumblebees-plant-these-flowers-in-your-yard-1.4786678', 'https://www.ctvnews.ca/lifestyle/feed-the-soul-in-chaotic-times-gardening-becomes-therapy-1.4877112', 'https://www.thestar.com/autos/opinion/2020/05/22/passing-the-time-during-the-pandemic.html']",36.7014631,-118.75599740000001,lifestyle,"['https://www.ctvnews.ca/lifestyle/if-you-want-to-save-bumblebees-plant-these-flowers-in-your-yard-1.4786678', 'https://www.ctvnews.ca/lifestyle/feed-the-soul-in-chaotic-times-gardening-becomes-therapy-1.4877112', 'https://www.thestar.com/autos/opinion/2020/05/22/passing-the-time-during-the-pandemic.html']"
famili just time peopl year home life day,0,"['James Peters O.D., F.A.A.O. Johnson – Maple Ridge News']",['https://www.mapleridgenews.com/obituaries/james-peters-o-d-f-a-a-o-johnson/'],13.5066394,104.869423,lifestyle,['https://www.mapleridgenews.com/obituaries/james-peters-o-d-f-a-a-o-johnson/']
famili just time peopl year home life day,0,"['A family restaurant responds to the current crisis by feeding its neighbours for free', 'Systemic racism impacts how we view food — and reviewers — in Waterloo Region', 'Earth Day: A new relationship to wildlife is needed for nature and people – Abbotsford News', ""'JewishPrivilege' hashtag trends on Twitter as users fight back against anti-Semitism"", 'COLUMN: Why you probably agree with the Black Lives Matter slogan, even if you think you don’t – Abbotsford News']","['https://www.thestar.com/sponsored_sections/on-the-food-frontlines/05/16/a-family-restaurant-responds-to-the-current-crisis-by-feeding-it.html', 'https://www.therecord.com/life/food-wine/opinion/2020/07/06/systemic-racism-impacts-how-we-view-food-and-reviewers-in-waterloo-region.html', 'https://www.abbynews.com/opinion/earth-day-a-new-relationship-to-wildlife-is-needed-for-nature-and-people/', 'https://www.ctvnews.ca/world/jewishprivilege-hashtag-trends-on-twitter-as-users-fight-back-against-anti-semitism-1.5022216', 'https://www.abbynews.com/opinion/column-why-you-probably-agree-with-the-black-lives-matter-slogan-even-if-you-think-you-dont/']",61.0666922,-107.9917071,lifestyle,"['https://www.thestar.com/sponsored_sections/on-the-food-frontlines/05/16/a-family-restaurant-responds-to-the-current-crisis-by-feeding-it.html', 'https://www.therecord.com/life/food-wine/opinion/2020/07/06/systemic-racism-impacts-how-we-view-food-and-reviewers-in-waterloo-region.html', 'https://www.abbynews.com/opinion/earth-day-a-new-relationship-to-wildlife-is-needed-for-nature-and-people/', 'https://www.ctvnews.ca/world/jewishprivilege-hashtag-trends-on-twitter-as-users-fight-back-against-anti-semitism-1.5022216', 'https://www.abbynews.com/opinion/column-why-you-probably-agree-with-the-black-lives-matter-slogan-even-if-you-think-you-dont/']"
famili just time peopl year home life day,0,"['Debutantes denied: Cotillion group turns 60, but coming out has to wait until 2021 thanks to COVID-19']",['https://www.thestar.com/life/2020/07/10/debutantes-denied-cotillion-group-turns-60-but-coming-out-has-to-wait-until-2021-thanks-to-covid-19.html'],41.875561600000005,-87.6244212,lifestyle,['https://www.thestar.com/life/2020/07/10/debutantes-denied-cotillion-group-turns-60-but-coming-out-has-to-wait-until-2021-thanks-to-covid-19.html']
famili just time peopl year home life day,0,['Seven delicious wines under $15 at the LCBO'],['https://www.thestar.com/life/food_wine/advice/2020/07/16/seven-delicious-wines-under-15-at-the-lcbo.html'],-31.7613365,-71.3187697,lifestyle,['https://www.thestar.com/life/food_wine/advice/2020/07/16/seven-delicious-wines-under-15-at-the-lcbo.html']
famili just time peopl year home life day,0,"['2-day solutions to get your kitchen gleaming again – Chilliwack Progress', 'COLUMN: The search for truth in a misinformation age – Chilliwack Progress']","['https://www.theprogress.com/marketplace/2-day-solutions-to-get-your-kitchen-gleaming-again/', 'https://www.theprogress.com/opinion/column-the-search-for-truth-in-a-misinformation-age/']",-121.956167,49.164694,lifestyle,"['https://www.theprogress.com/marketplace/2-day-solutions-to-get-your-kitchen-gleaming-again/', 'https://www.theprogress.com/opinion/column-the-search-for-truth-in-a-misinformation-age/']"
famili just time peopl year home life day,0,"['‘Situation is very, very hard’: Group looks to sponsor family in Kenyan refugee camp']",['https://www.therecord.com/ts/news/canada/2020/07/13/situation-is-very-very-hard-group-looks-to-sponsor-family-in-kenyan-refugee-camp.html'],-0.7732949,38.357783000000005,lifestyle,['https://www.therecord.com/ts/news/canada/2020/07/13/situation-is-very-very-hard-group-looks-to-sponsor-family-in-kenyan-refugee-camp.html']
famili just time peopl year home life day,0,"['COLUMN: Getting back to normal is just a matter of time – North Delta Reporter', 'SIMPSON: Before losing your cool, make sure the screw that’s loose isn’t yours – North Delta Reporter']","['https://www.northdeltareporter.com/opinion/column-getting-back-to-normal-is-just-a-matter-of-time/', 'https://www.northdeltareporter.com/opinion/simpson-before-losing-your-cool-make-sure-the-screw-thats-loose-isnt-yours/']",-122.798996,49.102505,lifestyle,"['https://www.northdeltareporter.com/opinion/column-getting-back-to-normal-is-just-a-matter-of-time/', 'https://www.northdeltareporter.com/opinion/simpson-before-losing-your-cool-make-sure-the-screw-thats-loose-isnt-yours/']"
famili just time peopl year home life day,0,['Here are six of the best cream blushes on the market'],['https://www.thestar.com/life/fashion_style/2020/07/16/here-are-six-of-the-best-cream-blushes-on-the-market.html'],0.0,0.0,lifestyle,['https://www.thestar.com/life/fashion_style/2020/07/16/here-are-six-of-the-best-cream-blushes-on-the-market.html']
famili just time peopl year home life day,0,['Dining In: This Kitchen has Kornered the breakfast market in Waterloo'],['https://www.therecord.com/life/food-wine/review/2020/06/25/dining-in-this-kitchen-has-kornered-the-breakfast-market-in-waterloo.html'],29.962087100000005,31.275509200000002,lifestyle,['https://www.therecord.com/life/food-wine/review/2020/06/25/dining-in-this-kitchen-has-kornered-the-breakfast-market-in-waterloo.html']
famili just time peopl year home life day,0,['Secrets and Lives with Tanner Caouette – Maple Ridge News'],['https://www.mapleridgenews.com/life/secrets-and-lives-with-tanner-caouette/'],25.0750095,55.18876088183319,lifestyle,['https://www.mapleridgenews.com/life/secrets-and-lives-with-tanner-caouette/']
famili just time peopl year home life day,0,['Princess Beatrice marries in private ceremony at Windsor'],['https://www.ctvnews.ca/world/princess-beatrice-marries-in-private-ceremony-at-windsor-1.5028141'],55.9533456,-3.1883749,lifestyle,['https://www.ctvnews.ca/world/princess-beatrice-marries-in-private-ceremony-at-windsor-1.5028141']
famili just time peopl year home life day,0,"['Bessie celebrates 105th birthday having survived two pandemics', 'Before DIY sourdough starters became popular, there was home economics – Abbotsford News', 'Queen makes veteran a knight at 100, no kneeling required']","['https://toronto.ctvnews.ca/bessie-celebrates-105th-birthday-having-survived-two-pandemics-1.5021338', 'https://www.abbynews.com/opinion/before-diy-sourdough-starters-became-popular-there-was-home-economics/', 'https://www.cp24.com/world/queen-makes-veteran-a-knight-at-100-no-kneeling-required-1.5028775']",52.795479099999994,-0.5402402866174321,lifestyle,"['https://toronto.ctvnews.ca/bessie-celebrates-105th-birthday-having-survived-two-pandemics-1.5021338', 'https://www.abbynews.com/opinion/before-diy-sourdough-starters-became-popular-there-was-home-economics/', 'https://www.cp24.com/world/queen-makes-veteran-a-knight-at-100-no-kneeling-required-1.5028775']"
famili just time peopl year home life day,0,['Low-maintenance succulents make watering a breeze'],['https://www.ctvnews.ca/lifestyle/low-maintenance-succulents-make-watering-a-breeze-1.4766473'],7.063378299999999,125.5421881,lifestyle,['https://www.ctvnews.ca/lifestyle/low-maintenance-succulents-make-watering-a-breeze-1.4766473']
famili just time peopl year home life day,0,['Nissan’s ‘working remotely’ could serve as a template for the future'],['https://www.thestar.com/autos/opinion/2020/04/25/nissans-working-remotely-could-serve-as-a-template-for-the-future.html'],42.4853125,-83.3771553,lifestyle,['https://www.thestar.com/autos/opinion/2020/04/25/nissans-working-remotely-could-serve-as-a-template-for-the-future.html']
famili just time peopl year home life day,0,['Dining In: Gayuma Catering serves Asian fusion from the heart'],['https://www.therecord.com/life/food-wine/review/2020/06/11/dining-in-gayuma-catering-serves-asian-fusion-from-the-heart.html'],0.0,0.0,lifestyle,['https://www.therecord.com/life/food-wine/review/2020/06/11/dining-in-gayuma-catering-serves-asian-fusion-from-the-heart.html']
famili just time peopl year home life day,0,['Lost dog swims Columbia River multiple times searching for home – Maple Ridge News'],['https://www.mapleridgenews.com/trending-now/lost-dog-swims-columbia-river-multiple-times-searching-for-home/'],49.209151500000004,-117.6982272,lifestyle,['https://www.mapleridgenews.com/trending-now/lost-dog-swims-columbia-river-multiple-times-searching-for-home/']
famili just time peopl year home life day,0,"['Vanderbilts, Windsors and Royals, sex and scandal a recipe for page-turning debut novel']",['https://www.thestar.com/entertainment/books/2020/07/14/vanderbilts-windsors-and-royals-sex-and-scandal-a-recipe-for-page-turning-debut-novel.html'],-9.3429057,-38.255254799999996,lifestyle,['https://www.thestar.com/entertainment/books/2020/07/14/vanderbilts-windsors-and-royals-sex-and-scandal-a-recipe-for-page-turning-debut-novel.html']
famili just time peopl year home life day,0,"['Set in Halifax: Exuberant, freewheeling stories about the insanity of being human']",['https://www.thestar.com/entertainment/books/2020/06/19/set-in-halifax-exuberant-freewheeling-stories-about-the-insanity-of-being-human.html'],44.648618,-63.58594870000001,lifestyle,['https://www.thestar.com/entertainment/books/2020/06/19/set-in-halifax-exuberant-freewheeling-stories-about-the-insanity-of-being-human.html']
famili just time peopl year home life day,0,"[""Community support for family dealing with baby's rare cancer diagnosis""]",['https://kitchener.ctvnews.ca/community-support-for-family-dealing-with-baby-s-rare-cancer-diagnosis-1.5027760'],43.2560802,-79.8728583,lifestyle,['https://kitchener.ctvnews.ca/community-support-for-family-dealing-with-baby-s-rare-cancer-diagnosis-1.5027760']
famili just time peopl year home life day,0,['These six flowers are blooming right now. And they make a lot of scents'],['https://www.therecord.com/ts/life/homes/2020/07/14/these-six-flowers-are-blooming-right-now-and-they-make-a-lot-of-scents.html'],50.46748985,3.9416713495644986,lifestyle,['https://www.therecord.com/ts/life/homes/2020/07/14/these-six-flowers-are-blooming-right-now-and-they-make-a-lot-of-scents.html']
famili just time peopl year home life day,0,['Horror books to make you lose your cool on a hot summer’s night'],['https://www.thestar.com/entertainment/books/2020/07/09/horror-books-to-make-you-lose-your-cool-on-a-hot-summers-night.html'],41.554185499999996,-91.5348875,lifestyle,['https://www.thestar.com/entertainment/books/2020/07/09/horror-books-to-make-you-lose-your-cool-on-a-hot-summers-night.html']
famili just time peopl year home life day,0,"['Lindsay Wong: COVID-19 may be my millennial generation’s diaspora, but it’s also my family’s latest, haunting trauma']",['https://www.therecord.com/ts/entertainment/books/2020/07/11/lindsay-wong-covid-19-may-be-my-millennial-generations-diaspora-but-its-also-my-familys-latest-haunting-trauma.html'],22.2793278,114.16281310000001,lifestyle,['https://www.therecord.com/ts/entertainment/books/2020/07/11/lindsay-wong-covid-19-may-be-my-millennial-generations-diaspora-but-its-also-my-familys-latest-haunting-trauma.html']
famili just time peopl year home life day,0,['‘Ocean to Idaho’ follows migration of salmon from Pacific to central Idaho through immersive social media campaign'],['https://www.thestar.com/life/relationships/2020/07/10/ocean-to-idaho-follows-migration-of-salmon-from-pacific-to-central-idaho-through-immersive-social-media-campaign.html'],43.644764200000004,-114.0154071,lifestyle,['https://www.thestar.com/life/relationships/2020/07/10/ocean-to-idaho-follows-migration-of-salmon-from-pacific-to-central-idaho-through-immersive-social-media-campaign.html']
famili just time peopl year home life day,0,"['Over 1 million marooned in Bangladesh as floods worsen', 'Story of ‘A Mother’s Journey to Adoption’ told in book by first-time Surrey author – North Delta Reporter']","['https://www.therecord.com/ts/news/world/asia/2020/07/14/over-1-million-marooned-in-bangladesh-as-floods-worsen.html', 'https://www.northdeltareporter.com/community/story-of-a-mothers-journey-to-adoption-told-in-book-by-first-time-surrey-author/']",22.3511148,78.6677428,lifestyle,"['https://www.therecord.com/ts/news/world/asia/2020/07/14/over-1-million-marooned-in-bangladesh-as-floods-worsen.html', 'https://www.northdeltareporter.com/community/story-of-a-mothers-journey-to-adoption-told-in-book-by-first-time-surrey-author/']"
famili just time peopl year home life day,0,"['Effortless design and timeless elements in classic condo – Maple Ridge News', 'Is Dixie Chicks’ gaslighter really just a jerk?']","['https://www.mapleridgenews.com/life/effortless-design-and-timeless-elements-in-classic-condo/', 'https://www.thestar.com/entertainment/opinion/2020/03/11/is-dixie-chicks-gaslighter-really-just-a-jerk.html']",18.503610899999998,-69.8303442,lifestyle,"['https://www.mapleridgenews.com/life/effortless-design-and-timeless-elements-in-classic-condo/', 'https://www.thestar.com/entertainment/opinion/2020/03/11/is-dixie-chicks-gaslighter-really-just-a-jerk.html']"
famili just time peopl year home life day,0,['In The Margins: ‘American Dirt’ an adrenalin-fueled page-turner'],['https://www.therecord.com/entertainment/books/review/2020/06/05/in-the-margins-american-dirt-an-adrenalin-fueled-page-turner.html'],42.5911918,-1.2086914,lifestyle,['https://www.therecord.com/entertainment/books/review/2020/06/05/in-the-margins-american-dirt-an-adrenalin-fueled-page-turner.html']
famili just time peopl year home life day,0,"['Rivers, Ranches and Ranges: From Historic Sites to Wilderness Adventure – Langley Advance Times']",['https://www.langleyadvancetimes.com/marketplace/rivers-ranches-and-ranges-from-historic-sites-to-wilderness-adventure/'],50.6758269,-120.33941589999999,lifestyle,['https://www.langleyadvancetimes.com/marketplace/rivers-ranches-and-ranges-from-historic-sites-to-wilderness-adventure/']
famili just time peopl year home life day,0,['Life and Style with Terry Simpson – Maple Ridge News'],['https://www.mapleridgenews.com/life/life-and-style-with-terry-simpson/'],49.889326000000004,-119.498291,lifestyle,['https://www.mapleridgenews.com/life/life-and-style-with-terry-simpson/']
famili just time peopl year home life day,0,"['In the Garden: Plants with spider connections a welcome addition', 'Out There: Why do men carry baggage but not bags?']","['https://www.therecord.com/life/advice/2020/07/10/in-the-garden-plants-with-spider-connections-a-welcome-addition.html', 'https://www.therecord.com/life/opinion/2020/07/10/out-there-why-do-men-carry-baggage-but-not-bags.html']",-80.486177,43.448732,lifestyle,"['https://www.therecord.com/life/advice/2020/07/10/in-the-garden-plants-with-spider-connections-a-welcome-addition.html', 'https://www.therecord.com/life/opinion/2020/07/10/out-there-why-do-men-carry-baggage-but-not-bags.html']"
famili just time peopl year home life day,0,['8 kids’ books that bring the outdoors in for summer reading'],['https://www.thestar.com/entertainment/books/2020/06/26/8-kids-books-that-bring-the-outdoors-in-for-summer-reading.html'],26.975055600000005,93.6615479,lifestyle,['https://www.thestar.com/entertainment/books/2020/06/26/8-kids-books-that-bring-the-outdoors-in-for-summer-reading.html']
famili just time peopl year home life day,0,"['After 16-year wait, South Koreans finally get new Chex flavour']",['https://www.cp24.com/lifestyle/human-interest/after-16-year-wait-south-koreans-finally-get-new-chex-flavour-1.5010154'],36.638391999999996,127.69611880000001,lifestyle,['https://www.cp24.com/lifestyle/human-interest/after-16-year-wait-south-koreans-finally-get-new-chex-flavour-1.5010154']
famili just time peopl year home life day,0,['Man found dead on Okanagan trail identified as Hollywood actor – Maple Ridge News'],['https://www.mapleridgenews.com/news/man-found-dead-on-okanagan-trail-identified-as-hollywood-actor/'],50.0304864,-119.4048014,lifestyle,['https://www.mapleridgenews.com/news/man-found-dead-on-okanagan-trail-identified-as-hollywood-actor/']
famili just time peopl year home life day,0,['She lost 100 pounds and became an Instagram sensation. Then she realized how diet culture was affecting her kids'],['https://www.thestar.com/life/health_wellness/2020/01/09/she-lost-100-pounds-and-became-an-instagram-sensation-then-she-realized-how-diet-culture-was-affecting-her-kids.html'],45.57,6.739910000000001,lifestyle,['https://www.thestar.com/life/health_wellness/2020/01/09/she-lost-100-pounds-and-became-an-instagram-sensation-then-she-realized-how-diet-culture-was-affecting-her-kids.html']
famili just time peopl year home life day,0,['Marie Anna Mow (nee van Spronsen) – Surrey Now-Leader'],['https://www.surreynowleader.com/obituaries/marie-anna-mow-nee-van-spronsen/'],48.360464799999995,6.3258262,lifestyle,['https://www.surreynowleader.com/obituaries/marie-anna-mow-nee-van-spronsen/']
famili just time peopl year home life day,0,['Simple design steps can take your garden to the next level'],['https://www.ctvnews.ca/lifestyle/simple-design-steps-can-take-your-garden-to-the-next-level-1.5003509'],49.6388884,8.32103265,lifestyle,['https://www.ctvnews.ca/lifestyle/simple-design-steps-can-take-your-garden-to-the-next-level-1.5003509']
famili just time peopl year home life day,0,['National Kitten Day aka the ‘purrfect’ day to foster a new friend – Maple Ridge News'],['https://www.mapleridgenews.com/trending-now/national-kitten-day-aka-the-purrfect-day-to-foster-a-new-friend/'],0.0,0.0,lifestyle,['https://www.mapleridgenews.com/trending-now/national-kitten-day-aka-the-purrfect-day-to-foster-a-new-friend/']
famili just time peopl year home life day,0,"['‘Unsolved Mysteries’ returns, because 2020 isn’t scary enough']",['https://www.therecord.com/ts/entertainment/movies/2020/07/03/unsolved-mysteries-returns-because-2020-isnt-scary-enough.html'],51.1177898,7.4162281000000005,lifestyle,['https://www.therecord.com/ts/entertainment/movies/2020/07/03/unsolved-mysteries-returns-because-2020-isnt-scary-enough.html']
famili just time peopl year home life day,0,"[""'I will make you live forever': Terry Fox publicist recalls first Marathon of Hope, 40 years later"", 'Backyard security camera sparks wider privacy concerns']","['http://london.ctvnews.ca/i-will-make-you-live-forever-terry-fox-publicist-recalls-first-marathon-of-hope-40-years-later-1.5027285', 'http://london.ctvnews.ca/backyard-security-camera-sparks-wider-privacy-concerns-1.5025959']",51.5073219,-0.1276474,lifestyle,"['http://london.ctvnews.ca/i-will-make-you-live-forever-terry-fox-publicist-recalls-first-marathon-of-hope-40-years-later-1.5027285', 'http://london.ctvnews.ca/backyard-security-camera-sparks-wider-privacy-concerns-1.5025959']"
famili just time peopl year home life day,0,"['96-year-old woman scales B.C. butte with help of family, friends – Maple Ridge News']",['https://www.mapleridgenews.com/community/96-year-old-woman-scales-b-c-butte-with-help-of-family-friends/'],47.732718799999994,-113.22701059999999,lifestyle,['https://www.mapleridgenews.com/community/96-year-old-woman-scales-b-c-butte-with-help-of-family-friends/']
famili just time peopl year home life day,0,['LANGLEY’S GREEN THUMB: Tiny hybrids can add stunning colour to the garden – Langley Advance Times'],['https://www.langleyadvancetimes.com/community/langleys-green-thumb-tiny-hybrids-can-add-stunning-colour-to-the-garden/'],0.0,0.0,lifestyle,['https://www.langleyadvancetimes.com/community/langleys-green-thumb-tiny-hybrids-can-add-stunning-colour-to-the-garden/']
famili just time peopl year home life day,0,"['At least it wasn’t boring: Peter Weber gets dumped, engaged and then calls it off on ‘Bachelor’ finale', 'David Lee Roth is letting his art (mostly) do the talking']","['https://www.thestar.com/entertainment/television/review/2020/03/11/at-least-it-wasnt-boring-peter-weber-gets-dumped-engaged-and-then-calls-it-off-on-bachelor-finale.html', 'https://www.thestar.com/entertainment/music/2020/07/13/david-lee-roth-is-letting-his-art-mostly-do-the-talking.html']",34.0536909,-118.2427666,lifestyle,"['https://www.thestar.com/entertainment/television/review/2020/03/11/at-least-it-wasnt-boring-peter-weber-gets-dumped-engaged-and-then-calls-it-off-on-bachelor-finale.html', 'https://www.thestar.com/entertainment/music/2020/07/13/david-lee-roth-is-letting-his-art-mostly-do-the-talking.html']"
